,ID Number COSPAR,Satellite Name,Country of Operator/Owner,Operator/Owner,Country of Contractor,Contractor,Users,Purpose,Detailed Purpose,Class of Orbit,Type of Orbit,Period (minutes),Expected Lifetime (yrs.),Launch Mass (kg.),Dry Mass (kg.),Power (watts),Launch Site,Launch Vehicle,Launch Year,Launch Month,Launch Mass Categories,Expected Lifetime Categories,Period Categories
23,2020-022B,"AEHF-6 (Advanced Extremely High Frequency satellite-6, USA 298)",United States of America,US Air Force,United States of America,Lockheed Martin Space Systems,Military,Communications,,GEO,,1436.0,13.0,6169.0,,,Cape Canaveral,Atlas 5,2020,3,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
24,2012-019A,"AEHF-USA 2 (Advanced Extremely High Frequency satellite-USA 2, USA 235)",United States of America,US Air Force,United States of America,Lockheed Martin Space Systems,Military,Communications,,GEO,,1436.1,14.0,6169.0,,,Cape Canaveral,Atlas 5,2012,5,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
48,2018-012A,Al Yah-3,United Arab Emirates,Al Yah Satellite Communications Co. (YAHSAT),United States of America,Orbital ATK,Commercial,Communications,,GEO,,1436.0,15.0,3795.0,,,Guiana Space Center,Ariane 5,2018,1,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
50,2017-078A,Alcomsat (Algerian Communications Satellite),Algeria,Algerian Space Agency (ASAL),China,China Academy of Space Technology (CAST),Government,Communications,,GEO,,1436.1,15.0,5225.0,,,Xichang Satellite Launch Center,Long March 3B,2017,12,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
59,2013-006A,Amazonas-3,Spain,Hispamar (subsidiary of Hispasat - Spain),United States of America,Space Systems/Loral,Commercial,Communications,,GEO,,1436.05,15.0,6265.0,2778,14000,Guiana Space Center,Ariane 5 ECA,2013,2,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
60,2014-011A,Amazonas-4A,Spain,Hispamar (subsidiary of Hispasat - Spain),United States of America,Orbital Sciences Corp.,Commercial,Communications,,GEO,,1436.24,15.0,2938.0,,,Guiana Space Center,Ariane 5 ECA,2014,3,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
61,2017-053A,Amazonas-5,Spain,Hispamar (subsidiary of Hispasat - Spain),United States of America,Space Systems/Loral,Commercial,Communications,,GEO,,1436.11,15.0,5900.0,,,Baikonur Cosmodrome,Proton,2017,9,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
64,2004-017A,"AMC-11 (Americom-11, GE 11)",United States of America,SES S.A.,United States of America,Lockheed Martin,Commercial,Communications,,GEO,,1436.07,15.0,2340.0,2316,"6,500 (EOL)",Cape Canaveral,Atlas 2AS,2004,5,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
65,2004-041A,AMC-15 (Americom-15),United States of America,SES S.A.,United States of America,Lockheed Martin,Commercial,Communications,,GEO,,1436.08,15.0,4200.0,,,Baikonur Cosmodrome,Proton M,2004,10,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
66,2006-054B,AMC-18 (Americom 18),United States of America,SES S.A.,United States of America,Lockheed Martin Missiles & Space,Commercial,Communications,,GEO,,1436.1,15.0,2081.0,918,,Guiana Space Center,Ariane 5,2006,12,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
67,2008-038B,AMC-21 (Americom 21),United States of America,SES S.A.,United States of America,Orbital Sciences Corp.,Commercial,Communications,,GEO,,1436.1,15.0,2500.0,,5000,Guiana Space Center,Ariane 5 ECA,2008,8,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
68,2000-067A,"AMC-6 (Americom-6, GE-6)",United States of America,SES S.A.,United States of America,Lockheed Martin Commercial Space Systems,Commercial,Communications,,GEO,,1436.12,15.0,3901.0,2500,,Baikonur Cosmodrome,Proton K,2000,10,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
70,2019-050A,Amos 17,Israel,Space-Communication Ltd.,United States of America,Boeing Satellite Systems,Multi Users,Communications,,GEO,,1436.04,20.0,6500.0,,,Cape Canaveral,Falcon 9,2019,8,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
71,2008-022A,Amos 3,Israel,Space-Communication Ltd.,Israel,Israel Aircraft Industries (IAI),Multi Users,Communications,,GEO,,1436.1,12.0,4083.0,,,Baikonur Cosmodrome,Zenit 3SLB,2008,4,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
72,2013-045A,Amos 4,Israel,Space-Communication Ltd.,Israel,Israel Aircraft Industries (IAI),Multi Users,Communications,,GEO,,1432.0,12.0,4083.0,,,Baikonur Cosmodrome,Zenit 2SB,2013,8,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
78,2000-076A,Anik F1,Canada,"Telesat Canada Ltd. (BCE, Inc.)",United States of America,Boeing Satellite Systems,Commercial,Communications,,GEO,,1436.08,15.0,4710.0,2950,"15,500 (EOL)",Guiana Space Center,Ariane 44L,2000,11,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
80,2004-027A,Anik F2,Canada,"Telesat Canada Ltd. (BCE, Inc.)",United States of America,Boeing Satellite Systems,Commercial,Communications,,GEO,,1436.08,15.0,5910.0,3805,16000,Guiana Space Center,Ariane 5,2004,7,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
82,2013-014A,Anik G1,Canada,"Telesat Canada Ltd. (BCE, Inc.)",United States of America,Space Systems/Loral,Commercial,Communications,,GEO,,1436.08,15.0,4905.0,,17500,Baikonur Cosmodrome,Proton M,2013,4,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
92,2018-041A,Apstar 6C,China,APT Satellite Holdings Ltd.,China,China Academy of Space Technology (CAST),Commercial,Communications,,GEO,,1436.1,15.0,4083.0,,,Xichang Satellite Launch Center,Long March 3B,2018,5,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
93,2020-045A,Apstar 6D,China,APT Satellite Holdings Ltd.,China,China Academy of Space Technology (CAST),Commercial,Communications,,GEO,,1438.5,15.0,5550.0,,,Xichang Satellite Launch Center,Long March 3B,2020,7,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
94,2023-005A,Apstar 6E,China,APT Satellite Holdings Ltd.,China,China Academy of Space Technology (CAST),Commercial,Communications,,GEO,,1436.0,15.0,4300.0,2090,,Xichang Satellite Launch Center,Long March 3B,2023,1,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
96,2015-059A,Apstar 9,China,APT Satellite Holdings Ltd.,China,China Academy of Space Technology (CAST),Commercial,Communications,,GEO,,1436.01,15.0,5200.0,,10500,Xichang Satellite Launch Center,Long March 3B,2015,10,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
106,2014-062B,ArSat 1,Argentina,ArSat,Argentina,INVAP S.E.,Commercial,Communications,,GEO,,1436.07,15.0,3000.0,,,Guiana Space Center,Ariane 5 ECA,2014,10,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
107,2015-054B,ArSat 2,Argentina,ArSat,Argentina,INVAP S.E.,Commercial,Communications,,GEO,,1436.06,15.0,2977.0,,4600,Guiana Space Center,Ariane 5 ECA,2015,9,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
110,2009-042A,AsiaSat-5,China,Asia Satellite Telecommunications Co. Ltd.,United States of America,Space Systems/Loral,Commercial,Communications,,GEO,,1436.11,15.0,3760.0,,,Baikonur Cosmodrome,Breeze M,2009,8,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
111,2014-052A,AsiaSat-6 (Thaicom-7),China,Asia Satellite Telecommunications Co. Ltd.,United States of America,Space Systems/Loral,Commercial,Communications,,GEO,,1436.17,15.0,3700.0,,,Cape Canaveral,Falcon 9,2014,9,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
112,2011-069A,AsiaSat-7,China,Asia Satellite Telecommunications Co. Ltd.,United States of America,Space Systems/Loral,Commercial,Communications,,GEO,,1436.17,15.0,3813.0,,,Baikonur Cosmodrome,Proton M,2011,11,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
113,2014-046A,AsiaSat-8,China,Asia Satellite Telecommunications Co. Ltd.,United States of America,Space Systems/Loral,Commercial,Communications,,GEO,,1436.1,15.0,4500.0,,8500,Cape Canaveral,Falcon 9,2014,8,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
114,2017-057A,AsiaSat-9,China,Asia Satellite Telecommunications Co. Ltd.,United States of America,Space Systems/Loral,Commercial,Communications,,GEO,,1436.1,15.0,6140.0,,,Baikonur Cosmodrome,Proton,2017,9,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
115,2000-016A,AsiaStar,United States of America,1Worldspace,France,Alcatel Space Industries,Commercial,Communications,,GEO,,1436.15,15.0,2775.0,1530,5600,Guiana Space Center,Ariane 5G,2000,3,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
119,1997-076A,Astra 1G,Luxembourg,SES S.A.,United States of America,Hughes Space and Communications Co.,Commercial,Communications,,GEO,,1436.08,15.0,3379.0,3010,6600,Baikonur Cosmodrome,Proton K,1997,12,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
120,2006-012A,Astra 1KR,Luxembourg,SES S.A.,United States of America,Lockheed Martin Commercial Space Systems,Commercial,Communications,,GEO,,1436.1,15.0,4332.0,,12000,Cape Canaveral,Atlas 5,2006,4,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
121,2007-016A,Astra 1L,Luxembourg,SES S.A.,United States of America,Lockheed Martin Commercial Space Systems,Commercial,Communications,,GEO,,1436.03,15.0,4500.0,,13000,Guiana Space Center,Ariane 5 ECA,2007,5,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
122,2008-057A,Astra 1M,Luxembourg,SES S.A.,France,EADS Astrium,Commercial,Communications,,GEO,,1438.2,15.0,5345.0,,9900,Baikonur Cosmodrome,Proton M,2008,11,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
123,2011-041A,Astra 1N,Luxembourg,SES S.A.,France,EADS Astrium,Commercial,Communications,,GEO,,1434.1,15.0,5350.0,,,Guiana Space Center,Ariane 5 ECA,2011,8,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
124,1998-050A,Astra 2A,Luxembourg,SES S.A.,United States of America,Hughes Space and Communications Co.,Commercial,Communications,,GEO,,1436.12,15.0,3635.0,2500,7000,Baikonur Cosmodrome,Proton K,1998,8,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
125,2001-025A,Astra 2C,Luxembourg,SES S.A.,United States of America,Boeing Satellite Systems,Commercial,Communications,,GEO,,1436.12,15.0,3643.0,2000,7000,Baikonur Cosmodrome,Proton K,2001,6,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
126,2000-081A,Astra 2D,Luxembourg,SES S.A.,United States of America,Hughes Space and Communications Co.,Commercial,Communications,,GEO,,1436.1,15.0,1420.0,700,1500,Guiana Space Center,Ariane 5G,2000,12,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
127,2013-056A,Astra 2E (Eutelsat 28E),Luxembourg,SES S.A.,France,EADS Astrium,Commercial,Communications,,GEO,,1436.12,15.0,6052.0,,13000,Baikonur Cosmodrome,Proton M,2013,9,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
130,2002-015B,Astra 3A,Luxembourg,SES S.A.,United States of America,Boeing Satellite Systems,Commercial,Communications,,GEO,,1436.07,10.0,1500.0,750,1500,Guiana Space Center,Ariane 44L,2002,3,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
132,2014-011B,Astra 5B,Luxembourg,SES S.A.,France,EADS Astrium,Commercial,Communications,,GEO,,1436.26,15.0,5724.0,,,Guiana Space Center,Ariane 5 ECA,2014,3,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
145,2019-034A,AT&T T16,United States of America,"DirecTV, Inc.",France,Airbus Defense and Space,Commercial,Communications,,GEO,,1436.07,15.0,6350.0,,,Guiana Space Center,Ariane 5,2019,6,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
149,2013-006B,Azerspace 1/Africasat-1a,Azerbaijan,Azercosmos,United States of America,Orbital Sciences Corp.,Government,Communications,,GEO,,1436.08,15.0,3250.0,1438,,Guiana Space Center,Ariane 5 ECA,2013,2,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
150,2018-074A,Azerspace 2/Intelsat-38,Azerbaijan,Azercosmos,United States of America,Space Systems/Loral,Government,Communications,,GEO,,1436.1,15.0,3500.0,,,Guiana Space Center,Ariane 5 ECA,2018,9,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
174,2012-059A,Beidou 2-16 (Compass G-6),China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,GEO,,1436.11,8.0,3800.0,2300,,Xichang Satellite Launch Center,Long March 3C,2012,10,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
175,2016-021A,Beidou 2-17 (IGSO-6),China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,GEO,,1435.92,8.0,4200.0,1900,,Xichang Satellite Launch Center,Long March 3A,2016,3,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
176,2016-037A,Beidou 2-18 (Compass G-7),China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,GEO,,1436.1,8.0,3800.0,,,Xichang Satellite Launch Center,Long March 3C,2016,6,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
177,2015-019A,Beidou 3I-1S,China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,GEO,,1461.81,8.0,4200.0,,,Xichang Satellite Launch Center,Long March 3C,2015,3,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
178,2015-053A,Beidou 3I-2S,China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,GEO,,1435.73,8.0,4200.0,,,Xichang Satellite Launch Center,Long March 3B,2015,9,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
191,2018-057A,Beidou DW 32,China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,GEO,,1436.1,8.0,800.0,280,,Xichang Satellite Launch Center,Long March 3A,2018,7,Light Weight Satellites,Long Expected Lifetime,Slow Rotation Period
200,2018-085A,Beidou DW 41,China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,GEO,,1436.06,8.0,800.0,280,,Xichang Satellite Launch Center,Long March 3B,2018,11,Light Weight Satellites,Long Expected Lifetime,Slow Rotation Period
203,2019-023A,Beidou DW 44,China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,GEO,,1435.7,8.0,800.0,280,,Xichang Satellite Launch Center,Long March 3B,2019,4,Light Weight Satellites,Long Expected Lifetime,Slow Rotation Period
204,2019-027A,Beidou DW 45,China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,GEO,,1436.06,8.0,800.0,280,,Xichang Satellite Launch Center,Long March 3C,2019,5,Light Weight Satellites,Long Expected Lifetime,Slow Rotation Period
205,2019-035A,Beidou DW 46,China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,GEO,,1436.2,8.0,800.0,280,,Xichang Satellite Launch Center,Long March 3B,2019,6,Light Weight Satellites,Long Expected Lifetime,Slow Rotation Period
206,2019-073A,Beidou DW 49,China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,GEO,,1436.2,8.0,4200.0,,,Xichang Satellite Launch Center,Long March 3B,2019,11,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
211,2020-040A,Beidou DW 55,China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,GEO,,1436.1,8.0,800.0,280,,Xichang Satellite Launch Center,Long March 3B,2020,6,Light Weight Satellites,Long Expected Lifetime,Slow Rotation Period
212,2020-017A,Beidou G3 (Compass G-3),China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,GEO,,1436.08,8.0,2200.0,,,Xichang Satellite Launch Center,Long March 3B,2020,3,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
213,2010-057A,Beidou G4 (Compass G-4),China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,GEO,,1436.1,8.0,6000.0,,,Xichang Satellite Launch Center,Long March 3C,2010,10,Heavy Weight Satellites,Long Expected Lifetime,Slow Rotation Period
214,2012-008A,Beidou G5 (Compass G-11),China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,GEO,,1436.15,8.0,2300.0,,,Xichang Satellite Launch Center,Long March 3A,2012,2,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
215,2010-036A,Beidou IGSO-1 (Compass G-5),China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,GEO,,1435.82,8.0,4200.0,1900,,Xichang Satellite Launch Center,Long March 3A,2010,7,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
216,2010-068A,Beidou IGSO-2 (Compass G-7),China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,GEO,,1436.12,8.0,4200.0,1900,,Xichang Satellite Launch Center,Long March 3A,2010,12,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
217,2011-013A,Beidou IGSO-3 (Compass G-8),China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,GEO,,1435.93,13.0,4200.0,1900,,Xichang Satellite Launch Center,Long March 3A,2011,4,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
218,2011-038A,Beidou IGSO-4 (Compass G-9),China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,GEO,,1435.1,8.0,4200.0,1900,,Xichang Satellite Launch Center,Long March 3A,2011,7,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
219,2011-073A,Beidou IGSO-5 (Compass G-10),China,Chinese Ministry of National Defense,China,Space Technology Research Institute (part of CASC),Multi Users,Navigation/Global Positioning,,GEO,,1436.08,8.0,4200.0,1900,,Xichang Satellite Launch Center,Long March 3A,2011,12,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
245,2017-046A,Blagovest-11L (Cosmos 2520),Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Communications,,GEO,,1436.0,15.0,3000.0,,,Baikonur Cosmodrome,Proton,2017,8,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
246,2018-037A,Blagovest-12L (Cosmos 2526),Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Communications,,GEO,,1436.09,15.0,3000.0,,,Baikonur Cosmodrome,Proton,2018,4,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
247,2018-107A,Blagovest-13L (Cosmos 2533),Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Communications,,GEO,,1436.08,15.0,3000.0,,,Baikonur Cosmodrome,Proton,2018,12,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
248,2019-048A,Blagovest-14L (Cosmos 2539),Russia,Ministry of Defense,Russia,ISS Reshetnev,Multi Users,Communications,,GEO,,1436.0,15.0,3000.0,,,Baikonur Cosmodrome,Proton,2019,8,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
251,2000-046A,Brazilsat B-4 (Brasilsat B-4),Brazil,Embratel Star One,United States of America,Boeing Satellite Systems,Commercial,Communications,,GEO,,1436.09,12.0,2495.0,1050,"1,800 (BOL)",Guiana Space Center,Ariane 44LP,2000,8,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
254,2016-039A,BRISat,Indonesia,Bank Rakyat Indonesia (BRI),United States of America,Space Systems/Loral,Commercial,Communications,,GEO,,1436.2,15.0,3540.0,,,Guiana Space Center,Ariane 5 ECA,2016,6,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
266,2007-036B,BSAT-3A,Japan,Broadcasting Satellite System Corp.,United States of America,Lockheed Martin Commercial Space Systems,Commercial,Communications,,GEO,,1436.1,13.0,1980.0,,,Guiana Space Center,Ariane 5 ECA,2007,8,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
267,2010-056B,BSAT-3B,Japan,Broadcasting Satellite System Corp.,United States of America,Lockheed Martin Commercial Space Systems,Commercial,Communications,,GEO,,1365.61,15.0,2060.0,975,,Guiana Space Center,Ariane 5 ECA,2010,10,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
268,2011-041B,BSAT-3C/JCSat 110-R,Japan,Broadcasting Satellite System Corp./Sky Perfect JSAT Corporation,United States of America,Lockheed Martin Commercial Space Systems,Commercial,Communications,,GEO,,1436.04,15.0,2910.0,,,Guiana Space Center,Ariane 5 ECA,2011,8,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
269,2017-059B,BSAT-4A,Japan,Broadcasting Satellite System Corp.,United States of America,Space Systems/Loral,Commercial,Communications,,GEO,,1432.7,15.0,3520.0,,,Guiana Space Center,Ariane 5,2017,9,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
270,2020-056A,BSAT-4B,Japan,Broadcasting Satellite System Corp.,United States of America,Maxar Technologies,Commercial,Communications,,GEO,,1436.1,15.0,3520.0,,,Guiana Space Center,Ariane 5,2020,8,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
275,2017-038A,BulgariaSat-1,Bulgaria,Bulsatcom,United States of America,Space Systems/Loral,Commercial,Communications,,GEO,,1436.0,15.0,3669.0,,,Cape Canaveral,Falcon 9,2017,6,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
299,2018-036A,"CBAS-1 (USA 283, Continuous Broadcast Augmenting SATCOM-1)",United States of America,US Air Force,United States of America,Unknown,Military,Communications,,GEO,,1436.1,13.0,4083.0,,,Cape Canaveral,Atlas 5,2018,4,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
300,2023-008A,"CBAS-2 (USA 342, Continuous Broadcast Augmenting SATCOM-2, USSF 67)",United States of America,US Air Force,United States of America,Unknown,Military,Communications,,GEO,,1436.1,13.0,3200.0,2800,,Cape Canaveral,Falcon Heavy,2023,1,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
350,2008-063A,Ciel-2,Canada,Ciel Satellite Group,France,Thales Alenia Space,Commercial,Communications,,GEO,,5585.0,15.0,4083.0,,,Baikonur Cosmodrome,Proton M,2008,12,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
354,2014-055A,CLIO (USA 257),United States of America,Unknown US agency,United States of America,Lockheed Martin,Military,Communications,,GEO,,1436.5,13.0,4083.0,,,Cape Canaveral,Atlas 5,2014,9,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
356,2020-099A,CMS-1 (GSAT 12R),India,Indian Space Research Organization (ISRO),India,Indian Space Research Organization (ISRO),Government,Communications,,GEO,,1436.1,15.0,1500.0,,,Satish Dhawan Space Centre,PSLV-XL,2020,12,Medium Weight Satellites,Long Expected Lifetime,Slow Rotation Period
